date,product,price,quantity,weather,day,discount,revenue
2026-03-01,Vanilla,100,44,Rainy,Sunday,0,4400
2026-03-01,Chocolate,120,22,Rainy,Sunday,0,2640
2026-03-01,Strawberry,110,31,Cold,Sunday,0,3410
2026-03-01,Mint,105,76,Hot,Sunday,0,7980
2026-03-01,Mango,96,73,Hot,Sunday,1,7008
2026-03-02,Vanilla,100,63,Hot,Monday,0,6300
2026-03-02,Chocolate,120,62,Hot,Monday,0,7440
2026-03-02,Strawberry,110,75,Hot,Monday,0,8250
2026-03-02,Mint,105,59,Hot,Monday,0,6195
2026-03-02,Mango,104,49,Hot,Monday,1,5096
2026-03-03,Vanilla,100,41,Rainy,Tuesday,0,4100
2026-03-03,Chocolate,120,90,Hot,Tuesday,0,10800
2026-03-03,Strawberry,110,81,Hot,Tuesday,0,8910
2026-03-03,Mint,95,60,Hot,Tuesday,1,5700
2026-03-03,Mango,115,24,Cold,Tuesday,0,2760
2026-03-04,Vanilla,86,35,Rainy,Wednesday,1,3010
2026-03-04,Chocolate,120,79,Hot,Wednesday,0,9480
2026-03-04,Strawberry,110,92,Hot,Wednesday,0,10120
2026-03-04,Mint,91,72,Hot,Wednesday,1,6552
2026-03-04,Mango,115,57,Hot,Wednesday,0,6555
2026-03-05,Vanilla,100,87,Hot,Thursday,0,8700
2026-03-05,Chocolate,104,79,Hot,Thursday,1,8216
2026-03-05,Strawberry,110,77,Hot,Thursday,0,8470
2026-03-05,Mint,105,63,Hot,Thursday,0,6615
2026-03-05,Mango,115,90,Hot,Thursday,0,10350
2026-03-06,Vanilla,100,39,Rainy,Friday,0,3900
2026-03-06,Chocolate,120,63,Hot,Friday,0,7560
2026-03-06,Strawberry,110,62,Hot,Friday,0,6820
2026-03-06,Mint,105,78,Hot,Friday,0,8190
2026-03-06,Mango,101,82,Hot,Friday,1,8282
2026-03-07,Vanilla,90,30,Cold,Saturday,1,2700
2026-03-07,Chocolate,110,58,Hot,Saturday,1,6380
2026-03-07,Strawberry,110,73,Hot,Saturday,0,8030
2026-03-07,Mint,92,34,Rainy,Saturday,1,3128
2026-03-07,Mango,115,71,Hot,Saturday,0,8165
2026-03-08,Vanilla,100,60,Hot,Sunday,0,6000
2026-03-08,Chocolate,104,86,Hot,Sunday,1,8944
2026-03-08,Strawberry,95,34,Cold,Sunday,1,3230
2026-03-08,Mint,105,38,Rainy,Sunday,0,3990
2026-03-08,Mango,97,74,Hot,Sunday,1,7178
2026-03-09,Vanilla,100,41,Cold,Monday,0,4100
2026-03-09,Chocolate,120,38,Cold,Monday,0,4560
2026-03-09,Strawberry,95,84,Hot,Monday,1,7980
2026-03-09,Mint,94,81,Hot,Monday,1,7614
2026-03-09,Mango,115,48,Hot,Monday,0,5520
2026-03-10,Vanilla,86,37,Rainy,Tuesday,1,3182
2026-03-10,Chocolate,120,18,Rainy,Tuesday,0,2160
2026-03-10,Strawberry,110,30,Rainy,Tuesday,0,3300
2026-03-10,Mint,105,17,Cold,Tuesday,0,1785
2026-03-10,Mango,115,31,Cold,Tuesday,0,3565
2026-03-11,Vanilla,100,51,Cold,Wednesday,0,5100
2026-03-11,Chocolate,120,22,Cold,Wednesday,0,2640
2026-03-11,Strawberry,110,49,Hot,Wednesday,0,5390
2026-03-11,Mint,105,85,Hot,Wednesday,0,8925
2026-03-11,Mango,115,27,Rainy,Wednesday,0,3105
2026-03-12,Vanilla,100,90,Hot,Thursday,0,9000
2026-03-12,Chocolate,120,75,Hot,Thursday,0,9000
2026-03-12,Strawberry,94,70,Hot,Thursday,1,6580
2026-03-12,Mint,105,73,Hot,Thursday,0,7665
2026-03-12,Mango,99,26,Cold,Thursday,1,2574
2026-03-13,Vanilla,100,38,Cold,Friday,0,3800
